Date;Close;Open;High;Low;Volume
02.11.2023; $43,51 ; $43,33 ; $43,88 ; $42,89 ;409 171 870
03.11.2023; $45,01 ; $44,02 ; $45,31 ; $43,72 ;424 609 590
06.11.2023; $45,75 ; $45,28 ; $45,94 ; $44,90 ;400 733 350
07.11.2023; $45,96 ; $45,72 ; $46,22 ; $45,16 ;343 165 470
08.11.2023; $46,57 ; $46,10 ; $46,87 ; $45,97 ;346 718 940
09.11.2023; $46,95 ; $47,47 ; $48,23 ; $46,75 ;540 495 970
10.11.2023; $48,34 ; $47,50 ; $48,47 ; $47,28 ;422 441 560
13.11.2023; $48,62 ; $48,32 ; $49,12 ; $48,10 ;384 135 700
14.11.2023; $49,66 ; $49,68 ; $49,83 ; $49,04 ;416 953 870
15.11.2023; $48,89 ; $49,94 ; $49,96 ; $48,20 ;475 497 350
16.11.2023; $49,48 ; $48,68 ; $49,52 ; $48,33 ;339 756 240
17.11.2023; $49,30 ; $49,52 ; $49,72 ; $49,01 ;325 896 910
20.11.2023; $50,41 ; $49,31 ; $50,55 ; $49,18 ;416 142 600
21.11.2023; $49,94 ; $50,13 ; $50,52 ; $49,22 ;565 746 870
22.11.2023; $48,72 ; $49,85 ; $50,33 ; $47,69 ;900 642 330
24.11.2023; $47,78 ; $48,47 ; $48,92 ; $47,75 ;294 644 640
27.11.2023; $48,24 ; $47,80 ; $48,53 ; $47,65 ;395 661 900
28.11.2023; $47,82 ; $48,24 ; $48,32 ; $47,47 ;401 490 850
29.11.2023; $48,14 ; $48,38 ; $48,76 ; $47,86 ;382 004 650
30.11.2023; $46,77 ; $48,02 ; $48,11 ; $46,42 ;526 246 630
01.12.2023; $46,77 ; $46,53 ; $47,20 ; $46,19 ;369 317 010
04.12.2023; $45,51 ; $46,08 ; $46,08 ; $45,01 ;437 543 440
05.12.2023; $46,57 ; $45,47 ; $46,60 ; $45,27 ;371 717 620
06.12.2023; $45,50 ; $47,21 ; $47,39 ; $45,41 ;380 589 550
07.12.2023; $46,60 ; $45,70 ; $46,63 ; $45,60 ;350 822 550
08.12.2023; $47,51 ; $46,60 ; $47,74 ; $46,55 ;359 223 700
11.12.2023; $46,63 ; $47,49 ; $47,53 ; $45,83 ;509 728 090
12.12.2023; $47,66 ; $46,05 ; $47,67 ; $46,05 ;372 386 860
13.12.2023; $48,09 ; $47,63 ; $48,59 ; $47,61 ;447 791 860
14.12.2023; $48,35 ; $48,39 ; $48,67 ; $47,42 ;391 231 740
15.12.2023; $48,89 ; $48,19 ; $49,40 ; $48,12 ;479 947 580
18.12.2023; $50,08 ; $49,40 ; $50,43 ; $49,15 ;412 587 170
19.12.2023; $49,60 ; $49,42 ; $49,70 ; $48,90 ;464 444 460
20.12.2023; $48,11 ; $49,66 ; $50,00 ; $48,10 ;397 894 390
21.12.2023; $48,99 ; $48,81 ; $49,10 ; $48,42 ;300 425 350
22.12.2023; $48,83 ; $49,20 ; $49,38 ; $48,47 ;252 506 760
26.12.2023; $49,28 ; $48,97 ; $49,60 ; $48,96 ;244 199 520
27.12.2023; $49,42 ; $49,51 ; $49,68 ; $49,09 ;233 647 980
28.12.2023; $49,52 ; $49,64 ; $49,88 ; $49,41 ;246 587 480
29.12.2023; $49,52 ; $49,81 ; $50,00 ; $48,75 ;389 293 300
